movie_id,cast
453395,"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']"
338953,"['Eddie Redmayne', 'Jude Law', 'Mads Mikkelsen']"
675353,"['James Marsden', 'Ben Schwartz', 'Tika Sumpter']"
752623,"['Sandra Bullock', 'Channing Tatum', 'Daniel Radcliffe']"
507086,"['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']"
526896,"['Jared Leto', 'Matt Smith', 'Adria Arjona']"
634649,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']"
639933,"['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang']"
508947,"['Rosalie Chiang', 'Sandra Oh', 'Ava Morse']"
705861,"['Adam Sandler', 'Juancho Hernangómez', 'Queen Latifah']"
335787,"['Tom Holland', 'Mark Wahlberg', 'Sophia Ali']"
414906,"['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano']"
629542,"['Sam Rockwell', 'Marc Maron', 'Awkwafina']"
361743,"['Tom Cruise', 'Miles Teller', 'Jennifer Connelly']"
568124,"['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo']"
406759,"['Halle Berry', 'Patrick Wilson', 'John Bradley']"
420821,"['Andy Samberg', 'John Mulaney', 'KiKi Layne']"
284052,"['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams']"
585083,"['Selena Gomez', 'Andy Samberg', 'Kathryn Hahn']"
580489,"['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']"
438695,"['Matthew McConaughey', 'Reese Witherspoon', 'Scarlett Johansson']"
763285,"['Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Eiza González']"
566525,"['Simu Liu', 'Tony Leung Chiu-wai', 'Awkwafina']"
774825,"['Simon Pegg', 'Vincent Tong', 'Aaron Harris']"
524434,"['Gemma Chan', 'Richard Madden', 'Angelina Jolie']"
460458,"['Kaya Scodelario', 'Robbie Amell', 'Hannah John-Kamen']"
299536,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
459151,"['Alec Baldwin', 'James Marsden', 'Amy Sedaris']"
135397,"['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']"
425909,"['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace']"
351286,"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']"
833425,"['Havana Rose Liu', 'Danny Ramirez', 'Dennis Haysbert']"
646385,"['Neve Campbell', 'Courteney Cox', 'David Arquette']"
324786,"['Andrew Garfield', 'Sam Worthington', 'Vince Vaughn']"
696806,"['Ryan Reynolds', 'Walker Scobell', 'Mark Ruffalo']"
585245,"['Darby Camp', 'Jack Whitehall', 'Izaac Wang']"
460465,"['Lewis Tan', 'Jessica McNamee', 'Josh Lawson']"
476669,"['Ralph Fiennes', 'Harris Dickinson', 'Gemma Arterton']"
423108,"['Patrick Wilson', 'Vera Farmiga', ""Ruairi O'Connor""]"
624860,"['Keanu Reeves', 'Carrie-Anne Moss', 'Yahya Abdul-Mateen II']"
508943,"['Jacob Tremblay', 'Jack Dylan Grazer', 'Emma Berman']"
19995,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']"
512195,"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']"
337404,"['Emma Stone', 'Emma Thompson', 'Joel Fry']"
436969,"['Margot Robbie', 'Idris Elba', 'John Cena']"
675445,"['Iain Armitage', 'Lilly Bartlam', 'Will Brisbin']"
744275,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard']"
299534,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
1865,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush']"
545611,"['Michelle Yeoh', 'Ke Huy Quan', 'Stephanie Hsu']"
399566,"['Alexander Skarsgård', 'Millie Bobby Brown', 'Rebecca Hall']"
631843,"['Gael García Bernal', 'Vicky Krieps', 'Rufus Sewell']"
10195,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']"
550988,"['Ryan Reynolds', 'Jodie Comer', 'Joe Keery']"
24428,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']"
862,"['Tom Hanks', 'Tim Allen', 'Don Rickles']"
671,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
672,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
497698,"['Scarlett Johansson', 'Florence Pugh', 'Rachel Weisz']"
926899,"['Mia Goth', 'Matthew Goode', 'Claudie Blakley']"
791373,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot']"
385128,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson']"
379686,"['LeBron James', 'Don Cheadle', 'Cedric Joe']"
529203,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds']"
13811,"['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury']"
527774,"['Kelly Marie Tran', 'Awkwafina', 'Izaac Wang']"
451048,"['Dwayne Johnson', 'Emily Blunt', 'Edgar Ramírez']"
588228,"['Chris Pratt', 'Yvonne Strahovski', 'J.K. Simmons']"
673,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
639721,"['Javon Walton', 'Oscar Isaac', 'Snoop Dogg']"
438631,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']"
354912,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']"
99861,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']"
198663,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Ki Hong Lee']"
632357,"['Jeffrey Dean Morgan', 'Cricket Brown', 'William Sadler']"
863,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
674,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
454626,"['James Marsden', 'Ben Schwartz', 'Tika Sumpter']"
482321,"['Zach Galifianakis', 'Jack Dylan Grazer', 'Ed Helms']"
581726,"['Mark Wahlberg', 'Chiwetel Ejiofor', 'Sophie Cookson']"
58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
22,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
106646,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']"
14836,"['Dakota Fanning', 'Teri Hatcher', 'Keith David']"
597208,"['Bradley Cooper', 'Cate Blanchett', 'Toni Collette']"
522016,"['Jessica Chastain', ""Lupita Nyong'o"", 'Penélope Cruz']"
613504,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Dylan Sprouse']"
474350,"['Bill Skarsgård', 'James McAvoy', 'Jessica Chastain']"
400160,"['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass']"
293660,"['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein']"
637649,"['Jason Statham', 'Holt McCallany', 'Scott Eastwood']"
284053,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett']"
12445,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
76338,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']"
370172,"['Daniel Craig', 'Léa Seydoux', 'Rami Malek']"
568620,"['Henry Golding', 'Andrew Koji', 'Haruka Abe']"
585,"['John Goodman', 'Billy Crystal', 'Steve Buscemi']"
301528,"['Tom Hanks', 'Tim Allen', 'Annie Potts']"
767,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
811592,"['Scott Adkins', 'Ashley Greene', 'Ryan Phillippe']"
118,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']"
522402,"['Tom Hanks', 'Caleb Landry Jones', 'Oscar Avila']"
138843,"['Vera Farmiga', 'Patrick Wilson', 'Lili Taylor']"
12444,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
276907,"['Tom Hardy', 'Emily Browning', 'Christopher Eccleston']"
157336,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']"
537915,"['Josephine Langford', 'Hero Fiennes Tiffin', 'Shane Paul McGhie']"
610253,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak']"
24021,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']"
38234,"['Scott Adkins', 'Mykel Shannon Jenkins', 'Mark Ivanir']"
602223,"['Ana de la Reguera', 'Tenoch Huerta', 'Josh Lucas']"
8587,"['Matthew Broderick', 'James Earl Jones', 'Jeremy Irons']"
270303,"['Maika Monroe', 'Keir Gilchrist', 'Daniel Zovatto']"
808,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
516329,"['Keri Russell', 'Jesse Plemons', 'Jeremy Thomas']"
520763,"['Emily Blunt', 'Cillian Murphy', 'Millicent Simmonds']"
166426,"['Johnny Depp', 'Javier Bardem', 'Geoffrey Rush']"
482373,"['Stephen Lang', 'Brendan Sexton III', 'Madelyn Grace']"
429617,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal']"
381284,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe']"
315635,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.']"
425,"['Ray Romano', 'John Leguizamo', 'Denis Leary']"
587807,"['Chloë Grace Moretz', 'Michael Peña', 'Colin Jost']"
1930,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']"
675,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
809,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']"
214756,"['Mark Wahlberg', 'Seth MacFarlane', 'Amanda Seyfried']"
458576,"['Milla Jovovich', 'Tony Jaa', 'Ron Perlman']"
7445,"['Tobey Maguire', 'Jake Gyllenhaal', 'Natalie Portman']"
39254,"['Hugh Jackman', 'Dakota Goyo', 'Evangeline Lilly']"
615457,"['Bob Odenkirk', 'Connie Nielsen', 'Christopher Lloyd']"
508442,"['Jamie Foxx', 'Tina Fey', 'Graham Norton']"
348893,"['Scott Adkins', 'Teodora Duhovnikova', 'Alon Aboutboul']"
10193,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']"
330457,"['Idina Menzel', 'Kristen Bell', 'Josh Gad']"
360784,"['Alexander Skarsgård', 'Andrea Riseborough', 'Emily Alyn Lind']"
672582,"['James Jagger', 'Camille Rowe', 'Eric Savin']"
464052,"['Gal Gadot', 'Chris Pine', 'Kristen Wiig']"
383498,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin']"
273481,"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin']"
122917,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']"
177572,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']"
10138,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']"
8966,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke']"
617653,"['Jodie Comer', 'Matt Damon', 'Adam Driver']"
259316,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']"
3933,"['Johnny Depp', 'Helena Bonham Carter', 'Emily Watson']"
10674,"['Ming-Na Wen', 'Eddie Murphy', 'BD Wong']"
2062,"['Patton Oswalt', 'Ian Holm', 'Lou Romano']"
9820,"['Lindsay Lohan', 'Dennis Quaid', 'Natasha Richardson']"
259693,"['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe']"
68726,"['Charlie Hunnam', 'Rinko Kikuchi', 'Idris Elba']"
531219,"['Anne Hathaway', 'Octavia Spencer', 'Stanley Tucci']"
271110,"['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']"
109445,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']"
337167,"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']"
102382,"['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']"
550205,"['Jimmy Wong', 'John Cho', 'Constance Wu']"
597,"['Kate Winslet', 'Leonardo DiCaprio', 'Billy Zane']"
38757,"['Mandy Moore', 'Zachary Levi', 'Donna Murphy']"
32657,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario']"
20352,"['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier']"
23168,"['Ben Affleck', 'Rebecca Hall', 'Jeremy Renner']"
796499,"['Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee']"
846214,"['Tom Hiddleston', 'Dan Castellaneta', 'Nancy Cartwright']"
420818,"['Chiwetel Ejiofor', 'John Oliver', 'James Earl Jones']"
12,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
404368,"['John C. Reilly', 'Sarah Silverman', 'Gal Gadot']"
34851,"['Adrien Brody', 'Topher Grace', 'Alice Braga']"
72545,"['Dwayne Johnson', 'Josh Hutcherson', 'Michael Caine']"
228150,"['Brad Pitt', 'Logan Lerman', 'Michael Peña']"
50620,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']"
260514,"['Owen Wilson', 'Larry the Cable Guy', 'Cristela Alonzo']"
338952,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']"
57214,"['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown']"
324857,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']"
35,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']"
93456,"['Steve Carell', 'Kristen Wiig', 'Benjamin Bratt']"
400928,"['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan']"
268896,"['John Boyega', 'Scott Eastwood', 'Cailee Spaeny']"
82690,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']"
522478,"['James Corden', 'Rose Byrne', 'Domhnall Gleeson']"
324552,"['Keanu Reeves', 'Common', 'Laurence Fishburne']"
335983,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']"
899082,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']"
337401,"['Liu Yifei', 'Tzi Ma', 'Donnie Yen']"
4247,"['Anna Faris', 'Jon Abrahams', 'Marlon Wayans']"
329,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']"
50619,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner']"
50014,"['Emma Stone', 'Viola Davis', 'Octavia Spencer']"
475557,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']"
72190,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']"
211672,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']"
14160,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']"
38575,"['Jaden Smith', 'Jackie Chan', 'Taraji P. Henson']"
1771,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving']"
630586,"['Charlotte Vega', 'Adain Bradley', 'Bill Sage']"
591273,"['Kiana Madeira', 'Olivia Scott Welch', 'Benjamin Flores Jr.']"
131631,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']"
