adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/wcKFYIiVDvRURrzglV9kGu7fpfY.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",10705.828,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.6,3069
False,/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,"[14, 12, 28]",338953,en,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",3224.49,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,False,6.8,1967
False,/egoyMDLqCxzjnSrWOz50uLlJWmD.jpg,"[28, 12, 10751, 35]",675353,en,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2871.634,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-03-30,Sonic the Hedgehog 2,False,7.7,2178
False,/1Ds7xy7ILo8u2WWxdnkJth1jQVT.jpg,"[28, 12, 35]",752623,en,The Lost City,"A reclusive romance novelist was sure nothing could be worse than getting stuck on a book tour with her cover model until a kidnapping attempt sweeps them both into a cutthroat jungle adventure, proving life can be so much stranger, and more romantic, than any of her paperback fictions.",2250.069,/neMZH82Stu91d3iqvLdNQfqPPyl.jpg,2022-03-24,The Lost City,False,6.8,1292
False,/wo3l9p0S7pcvwlzlndtKgq0peRJ.jpg,"[28, 12, 878]",507086,en,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.",2158.604,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,2022-06-01,Jurassic World Dominion,False,6.7,751
False,/gG9fTyDL03fiKnOpf2tr01sncnt.jpg,"[28, 878, 14]",526896,en,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",2142.757,/6JjfSchsU6daXk2AKX8EEBjO3Fm.jpg,2022-03-30,Morbius,False,6.4,1796
False,/iQFcwSGbZXMkeyKrxbPnwnRo5fl.jpg,"[28, 12, 878]",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",2023.885,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,False,8.1,13703
False,/cqnVuxXe6vA7wfNWubak3x36DKJ.jpg,"[28, 12, 14]",639933,en,The Northman,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father.",1698.212,/8p9zXB7M78nZpm215zHfqpknMeM.jpg,2022-04-07,The Northman,False,7.3,1632
False,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,"[16, 10751, 35, 14]",508947,en,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",1613.908,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022-03-10,Turning Red,False,7.5,2556
False,/hGr0FrLI74vqpBWTBOPloDBwOAK.jpg,"[18, 35]",705861,en,Hustle,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",1550.145,/fVf4YHHkRfo1uuljpWBViEGmaUQ.jpg,2022-06-03,Hustle,False,7.8,730
